------------ [Tue, 24 Sep 2019 01:13:23 +0530] Filter lines matching "mqttclient_fx30ltem" ------------
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c app_Stop() 3017 | Stopping app 'mqttclient_fx30ltem'
Sep 23 19:43:27 | mqttclient_fx30ltem[11758]/framework T=main | LE_FILENAME TermSignalHandler() 643 | Terminated
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | apps.c DeactivateAppContainer() 374 | Application 'mqttclient_fx30ltem' has stopped.
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c app_Start() 2926 | Starting app 'mqttclient_fx30ltem'
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/dev/log' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/dev/log': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/dev/null' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/dev/null': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/dev/zero' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/dev/zero': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/legato/systems/current/lib/liblegato.so' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/liblegato.so': Already ex
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/ld-linux.so.3' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/ld-linux.so.3': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libc.so.6' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libc.so.6': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libpthread.so.0' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libpthread.so.0': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/librt.so.1' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/librt.so.1': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libdl.so.2' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libdl.so.2': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libgcc_s.so.1' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libgcc_s.so.1': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libm.so.6' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libm.so.6': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/usr/lib/libstdc++.so.6' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libstdc++.so.6': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/legato/systems/current/apps/mqttclient_fx30ltem/read-only/lib/libComponent_mqttclient_fx30ltemComponent.so' to '/legato/systems/curr
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/legato/systems/current/apps/mqttclient_fx30ltem/read-only/lib/libpaho-mqtt3cs.so.1' to '/legato/systems/current/appsWriteable/mqttcl
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/legato/systems/current/apps/mqttclient_fx30ltem/read-only/bin/mqttclient_fx30ltem' to '/legato/systems/current/appsWriteable/mqttcli
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/legato/systems/current/apps/mqttclient_fx30ltem/read-only/cert/gdroot-g2.crt' to '/legato/systems/current/appsWriteable/mqttclient_f
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/legato/systems/current/apps/mqttclient_fx30ltem/read-only/lib/libpaho-mqtt3cs.so.1' to '/legato/systems/current/appsWriteable/mqttcl
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/etc/dnsmasq.conf' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/etc/dnsmasq.conf': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/etc/host.conf' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/etc/host.conf': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/etc/hosts' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/etc/hosts': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/etc/nsswitch.conf' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/etc/nsswitch.conf': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/etc/resolv.conf' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/etc/resolv.conf': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/etc/services' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/etc/services': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/usr/lib/libcrypto.so.1.0.2' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libcrypto.so.1.0.2': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libnss_dns.so.2' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libnss_dns.so.2': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libnss_files.so.2' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libnss_files.so.2': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/lib/libresolv.so.2' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libresolv.so.2': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/usr/lib/libssl.so.1.0.2' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/lib/libssl.so.1.0.2': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1549 | Skipping file link '/dev/urandom' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/dev/urandom': Already exists
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateTmpFs() 1253 | Mounted tmpfs at /legato/systems/current/appsWriteable/mqttclient_fx30ltem/tmp.
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1619 | Created file link '/tmp/legato/serviceDirectoryServer' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/tmp/legato/serviceDirectoryServer'.
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | app.c CreateFileLink() 1619 | Created file link '/tmp/legato/serviceDirectoryClient' to '/legato/systems/current/appsWriteable/mqttclient_fx30ltem/tmp/legato/serviceDirectoryClient'.
Sep 23 19:43:27 | supervisor[956]/supervisor T=main | proc.c proc_Start() 1389 | Starting process 'mqttclient_fx30ltem' with pid 12066
Sep 23 19:43:27 | supervisor[12066]/supervisor T=main | proc.c proc_Start() 1354 | Execing 'mqttclient_fx30ltem'
Sep 23 19:43:27 | _UNKNOWN_[12066]/<invalid> T=main | _componentMain.c _mqttclient_fx30ltemComponent_Init() 29 | Initializing mqttclient_fx30ltemComponent component library.
Sep 23 19:43:27 | _UNKNOWN_[12066]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'mqttclient_fx30ltem.mqttclient_fx30ltemComponent.le_data' truncated to 'mqttclient_fx30ltem.mqttclient_'.
Sep 23 19:43:27 | _UNKNOWN_[12066]/framework T=main | le_data_client.c DoConnectService() 355 | ======= Starting client for 'mqttclient_fx30ltem.mqttclient_fx30ltemComponent.le_data' service ========
Sep 23 19:43:27 | mqttclient_fx30ltem[12066]/framework T=main | LE_FILENAME InitPool() 303 | Memory pool name 'framework.msgs-LogControlProtocol' is truncated to 'framework.msgs-LogControlProtoc'
Sep 23 19:43:27 | mqttclient_fx30ltem[12066]/framework T=main | LE_FILENAME le_mem_ForceAlloc() 841 | Memory pool 'framework.SigMonitor' overflowed. Expanded to 1 blocks.
Sep 23 19:43:27 | mqttclient_fx30ltem[12066]/framework T=main | LE_FILENAME le_mem_ForceAlloc() 841 | Memory pool 'framework.SigHandler' overflowed. Expanded to 1 blocks.
Sep 23 19:43:27 | mqttclient_fx30ltem[12066]/mqttclient_fx30ltem_exe T=main | _main.c main() 61 | == Starting Event Processing Loop ==
Sep 23 19:43:27 | mqttclient_fx30ltem[12066]/framework T=main | LE_FILENAME le_mem_ForceAlloc() 841 | Memory pool '.le_data_ClientData' overflowed. Expanded to 1 blocks.
Sep 23 19:43:41 | mqttclient_fx30ltem[12066]/mqttclient_fx30ltemComponent T=main | mqttclient_fx30ltemComponent.c onDataConnStateChange() 139 | Connected to network, trying to connect to AirVantage
Sep 23 19:43:41 | mqttclient_fx30ltem[12066]/mqttclient_fx30ltemComponent T=main | AVMQTTClient.c AV_MQTT_connect() 104 | MQTT Client correctly configured:
Sep 23 19:43:41 | mqttclient_fx30ltem[12066]/mqttclient_fx30ltemComponent T=main | AVMQTTClient.c AV_MQTT_connect() 105 | 	 Server url: ssl://eu.airvantage.net:8883
Sep 23 19:43:41 | mqttclient_fx30ltem[12066]/mqttclient_fx30ltemComponent T=main | AVMQTTClient.c AV_MQTT_connect() 106 | 	 User name: 1234567895236
Sep 23 19:43:41 | mqttclient_fx30ltem[12066]/mqttclient_fx30ltemComponent T=main | AVMQTTClient.c AV_MQTT_connect() 107 | 	 password: 123456
Sep 23 19:43:41 | mqttclient_fx30ltem[12066]/mqttclient_fx30ltemComponent T=main | AVMQTTClient.c AV_MQTT_connect() 108 | 	 Publish topic: 1234567895236/messages/json
Sep 23 19:44:05 | supervisor[956]/supervisor T=main | app.c app_Stop() 3017 | Stopping app 'mqttclient_fx30ltem'
Sep 23 19:44:06 | supervisor[956]/supervisor T=main | app.c HardKillApp() 1046 | Hard killing app 'mqttclient_fx30ltem'
Sep 23 19:44:06 | supervisor[956]/supervisor T=main | apps.c DeactivateAppContainer() 374 | Application 'mqttclient_fx30ltem' has stopped.
